userId	geneSymbol	geneName	entrezgene	gLink
100128653	LOC100128653	uncharacterized LOC100128653	100128653	https://www.ncbi.nlm.nih.gov/gene/?term=100128653
100128731	OST4	oligosaccharyltransferase complex subunit 4, non-catalytic	100128731	https://www.ncbi.nlm.nih.gov/gene/?term=100128731
100128822	LINC01003	long intergenic non-protein coding RNA 1003	100128822	https://www.ncbi.nlm.nih.gov/gene/?term=100128822
100129129	LOC100129129	uncharacterized LOC100129129	100129129	https://www.ncbi.nlm.nih.gov/gene/?term=100129129
100129460	DPY19L1P1	DPY19L1 pseudogene 1	100129460	https://www.ncbi.nlm.nih.gov/gene/?term=100129460
100129528	MUC8	mucin 8	100129528	https://www.ncbi.nlm.nih.gov/gene/?term=100129528
100129722	STPG3-AS1	STPG3 antisense RNA 1	100129722	https://www.ncbi.nlm.nih.gov/gene/?term=100129722
10013	HDAC6	histone deacetylase 6	10013	https://www.ncbi.nlm.nih.gov/gene/?term=10013
100130111	LOC100130111	uncharacterized LOC100130111	100130111	https://www.ncbi.nlm.nih.gov/gene/?term=100130111
100130249	PP2672	uncharacterized LOC100130249	100130249	https://www.ncbi.nlm.nih.gov/gene/?term=100130249
100130691	LOC100130691	uncharacterized LOC100130691	100130691	https://www.ncbi.nlm.nih.gov/gene/?term=100130691
100130776	AGAP2-AS1	AGAP2 antisense RNA 1	100130776	https://www.ncbi.nlm.nih.gov/gene/?term=100130776
100130889	PSORS1C3	psoriasis susceptibility 1 candidate 3	100130889	https://www.ncbi.nlm.nih.gov/gene/?term=100130889
100130950	LOC100130950	uncharacterized LOC100130950	100130950	https://www.ncbi.nlm.nih.gov/gene/?term=100130950
100130987	LOC100130987	uncharacterized LOC100130987	100130987	https://www.ncbi.nlm.nih.gov/gene/?term=100130987
100131017	ZNF316	zinc finger protein 316	100131017	https://www.ncbi.nlm.nih.gov/gene/?term=100131017
100131211	NEMP2	nuclear envelope integral membrane protein 2	100131211	https://www.ncbi.nlm.nih.gov/gene/?term=100131211
100131532	LOC100131532	uncharacterized LOC100131532	100131532	https://www.ncbi.nlm.nih.gov/gene/?term=100131532
100131655	ZNF236-DT	ZNF236 divergent transcript	100131655	https://www.ncbi.nlm.nih.gov/gene/?term=100131655
100131691	MZF1-AS1	MZF1 antisense RNA 1	100131691	https://www.ncbi.nlm.nih.gov/gene/?term=100131691
100131816	UBE2DNL	ubiquitin conjugating enzyme E2 D N-terminal like (pseudogene)	100131816	https://www.ncbi.nlm.nih.gov/gene/?term=100131816
100131980	ZNF705G	zinc finger protein 705G	100131980	https://www.ncbi.nlm.nih.gov/gene/?term=100131980
100132074	FOXO6	forkhead box O6	100132074	https://www.ncbi.nlm.nih.gov/gene/?term=100132074
100132101	HERC2P7	hect domain and RLD 2 pseudogene 7	100132101	https://www.ncbi.nlm.nih.gov/gene/?term=100132101
100132169	WASIR2	WASH and IL9R antisense RNA 2	100132169	https://www.ncbi.nlm.nih.gov/gene/?term=100132169
100132386	KRTAP4-9	keratin associated protein 4-9	100132386	https://www.ncbi.nlm.nih.gov/gene/?term=100132386
100132911	DPH3P1	diphthamide biosynthesis 3 pseudogene 1	100132911	https://www.ncbi.nlm.nih.gov/gene/?term=100132911
100133190	ADIRF-AS1	ADIRF antisense RNA 1	100133190	https://www.ncbi.nlm.nih.gov/gene/?term=100133190
100133461	LINC02171	long intergenic non-protein coding RNA 2171	100133461	https://www.ncbi.nlm.nih.gov/gene/?term=100133461
100133669	LY6E-DT	LY6E divergent transcript	100133669	https://www.ncbi.nlm.nih.gov/gene/?term=100133669
100133920	LOC100133920	NA	100133920	https://www.ncbi.nlm.nih.gov/gene/?term=100133920
100134713	NDUFB2-AS1	NDUFB2 antisense RNA 1	100134713	https://www.ncbi.nlm.nih.gov/gene/?term=100134713
100144597	LINC01056	long intergenic non-protein coding RNA 1056	100144597	https://www.ncbi.nlm.nih.gov/gene/?term=100144597
10016	PDCD6	programmed cell death 6	10016	https://www.ncbi.nlm.nih.gov/gene/?term=10016
100169989	DBIL5P2	diazepam binding inhibitor-like 5 pseudogene 2	100169989	https://www.ncbi.nlm.nih.gov/gene/?term=100169989
100170841	EPOP	elongin BC and polycomb repressive complex 2 associated protein	100170841	https://www.ncbi.nlm.nih.gov/gene/?term=100170841
100216545	KMT2E-AS1	KMT2E antisense RNA 1	100216545	https://www.ncbi.nlm.nih.gov/gene/?term=100216545
10024	TROAP	trophinin associated protein	10024	https://www.ncbi.nlm.nih.gov/gene/?term=10024
100240734	LOC100240734	uncharacterized LOC100240734	100240734	https://www.ncbi.nlm.nih.gov/gene/?term=100240734
100268168	LOC100268168	uncharacterized LOC100268168	100268168	https://www.ncbi.nlm.nih.gov/gene/?term=100268168
100271715	ARHGEF33	Rho guanine nucleotide exchange factor 33	100271715	https://www.ncbi.nlm.nih.gov/gene/?term=100271715
100272147	CMC4	C-X9-C motif containing 4	100272147	https://www.ncbi.nlm.nih.gov/gene/?term=100272147
100286844	BCDIN3D-AS1	BCDIN3D antisense RNA 1	100286844	https://www.ncbi.nlm.nih.gov/gene/?term=100286844
100286938	VPS13A-AS1	VPS13A antisense RNA 1	100286938	https://www.ncbi.nlm.nih.gov/gene/?term=100286938
100287015	LOC100287015	uncharacterized LOC100287015	100287015	https://www.ncbi.nlm.nih.gov/gene/?term=100287015
100287114	LINC00421	long intergenic non-protein coding RNA 421	100287114	https://www.ncbi.nlm.nih.gov/gene/?term=100287114
100287177	EML2-AS1	EML2 antisense RNA 1	100287177	https://www.ncbi.nlm.nih.gov/gene/?term=100287177
100287227	TIPARP-AS1	TIPARP antisense RNA 1	100287227	https://www.ncbi.nlm.nih.gov/gene/?term=100287227
100287482	SMKR1	small lysine rich protein 1	100287482	https://www.ncbi.nlm.nih.gov/gene/?term=100287482
100287704	LOC100287704	uncharacterized LOC100287704	100287704	https://www.ncbi.nlm.nih.gov/gene/?term=100287704
100287902	LGALS8-AS1	LGALS8 antisense RNA 1	100287902	https://www.ncbi.nlm.nih.gov/gene/?term=100287902
100288122	LDLRAD4-AS1	LDLRAD4 antisense RNA 1	100288122	https://www.ncbi.nlm.nih.gov/gene/?term=100288122
100288142	NBPF20	NBPF member 20	100288142	https://www.ncbi.nlm.nih.gov/gene/?term=100288142
100288413	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope	100288413	https://www.ncbi.nlm.nih.gov/gene/?term=100288413
100288570	LOC100288570	glycosylphosphatidylinositol anchor attachment protein 1 homolog (yeast) pseudogene	100288570	https://www.ncbi.nlm.nih.gov/gene/?term=100288570
100288730	PAN3-AS1	PAN3 antisense RNA 1	100288730	https://www.ncbi.nlm.nih.gov/gene/?term=100288730
100288797	TMEM239	transmembrane protein 239	100288797	https://www.ncbi.nlm.nih.gov/gene/?term=100288797
100289092	ATP2A1-AS1	ATP2A1 antisense RNA 1	100289092	https://www.ncbi.nlm.nih.gov/gene/?term=100289092
100289098	GS1-124K5.4	uncharacterized LOC100289098	100289098	https://www.ncbi.nlm.nih.gov/gene/?term=100289098
100289255	TMEM238L	transmembrane protein 238 like	100289255	https://www.ncbi.nlm.nih.gov/gene/?term=100289255
100289274	DNAJC3-DT	DNAJC3 divergent transcript	100289274	https://www.ncbi.nlm.nih.gov/gene/?term=100289274
100289361	LOC100289361	uncharacterized LOC100289361	100289361	https://www.ncbi.nlm.nih.gov/gene/?term=100289361
100289373	UBAC2-AS1	UBAC2 antisense RNA 1	100289373	https://www.ncbi.nlm.nih.gov/gene/?term=100289373
100289410	MCF2L-AS1	MCF2L antisense RNA 1	100289410	https://www.ncbi.nlm.nih.gov/gene/?term=100289410
100289509	KCNIP2-AS1	KCNIP2 antisense RNA 1	100289509	https://www.ncbi.nlm.nih.gov/gene/?term=100289509
100289635	ZNF605	zinc finger protein 605	100289635	https://www.ncbi.nlm.nih.gov/gene/?term=100289635
100293516	ZNF587B	zinc finger protein 587B	100293516	https://www.ncbi.nlm.nih.gov/gene/?term=100293516
100302522	PTCSC1	papillary thyroid carcinoma susceptibility candidate 1	100302522	https://www.ncbi.nlm.nih.gov/gene/?term=100302522
100302691	LINC00184	long intergenic non-protein coding RNA 184	100302691	https://www.ncbi.nlm.nih.gov/gene/?term=100302691
100302692	FTX	FTX transcript, XIST regulator	100302692	https://www.ncbi.nlm.nih.gov/gene/?term=100302692
100379174	MACROD2-AS1	MACROD2 antisense RNA 1	100379174	https://www.ncbi.nlm.nih.gov/gene/?term=100379174
100379345	MIR181A2HG	MIR181A2 host gene	100379345	https://www.ncbi.nlm.nih.gov/gene/?term=100379345
10038	PARP2	poly(ADP-ribose) polymerase 2	10038	https://www.ncbi.nlm.nih.gov/gene/?term=10038
10042	HMGXB4	HMG-box containing 4	10042	https://www.ncbi.nlm.nih.gov/gene/?term=10042
100422781	LOC100422781	uncharacterized LOC100422781	100422781	https://www.ncbi.nlm.nih.gov/gene/?term=100422781
100422872	MIR1244-3	microRNA 1244-3	100422872	https://www.ncbi.nlm.nih.gov/gene/?term=100422872
100423035	MIR4313	microRNA 4313	100423035	https://www.ncbi.nlm.nih.gov/gene/?term=100423035
10045	SH2D3A	SH2 domain containing 3A	10045	https://www.ncbi.nlm.nih.gov/gene/?term=10045
10050	SLC17A4	solute carrier family 17 member 4	10050	https://www.ncbi.nlm.nih.gov/gene/?term=10050
100500849	MIR3916	microRNA 3916	100500849	https://www.ncbi.nlm.nih.gov/gene/?term=100500849
100505474	LINC01539	long intergenic non-protein coding RNA 1539	100505474	https://www.ncbi.nlm.nih.gov/gene/?term=100505474
100505478	TEX48	testis expressed 48	100505478	https://www.ncbi.nlm.nih.gov/gene/?term=100505478
100505495	PCAT19	prostate cancer associated transcript 19	100505495	https://www.ncbi.nlm.nih.gov/gene/?term=100505495
100505530	LINC02520	long intergenic non-protein coding RNA 2520	100505530	https://www.ncbi.nlm.nih.gov/gene/?term=100505530
100505534	LOC100505534	uncharacterized LOC100505534	100505534	https://www.ncbi.nlm.nih.gov/gene/?term=100505534
100505540	SLIT1-AS1	SLIT1 antisense RNA 1	100505540	https://www.ncbi.nlm.nih.gov/gene/?term=100505540
100505592	GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	100505592	https://www.ncbi.nlm.nih.gov/gene/?term=100505592
100505609	LINC02053	long intergenic non-protein coding RNA 2053	100505609	https://www.ncbi.nlm.nih.gov/gene/?term=100505609
100505659	LINC00967	long intergenic non-protein coding RNA 967	100505659	https://www.ncbi.nlm.nih.gov/gene/?term=100505659
100505666	DCST1-AS1	DCST1 antisense RNA 1	100505666	https://www.ncbi.nlm.nih.gov/gene/?term=100505666
100505681	NAPA-AS1	NAPA antisense RNA 1	100505681	https://www.ncbi.nlm.nih.gov/gene/?term=100505681
100505702	LINC01094	long intergenic non-protein coding RNA 1094	100505702	https://www.ncbi.nlm.nih.gov/gene/?term=100505702
100505776	LINC01541	long intergenic non-protein coding RNA 1541	100505776	https://www.ncbi.nlm.nih.gov/gene/?term=100505776
100505806	SNHG18	small nucleolar RNA host gene 18	100505806	https://www.ncbi.nlm.nih.gov/gene/?term=100505806
100505839	SH3PXD2A-AS1	SH3PXD2A antisense RNA 1	100505839	https://www.ncbi.nlm.nih.gov/gene/?term=100505839
100505854	APTR	Alu-mediated CDKN1A/p21 transcriptional regulator	100505854	https://www.ncbi.nlm.nih.gov/gene/?term=100505854
100505865	LINC00920	long intergenic non-protein coding RNA 920	100505865	https://www.ncbi.nlm.nih.gov/gene/?term=100505865
100505875	LINC01088	long intergenic non-protein coding RNA 1088	100505875	https://www.ncbi.nlm.nih.gov/gene/?term=100505875
100505918	LOC100505918	uncharacterized LOC100505918	100505918	https://www.ncbi.nlm.nih.gov/gene/?term=100505918
100505938	LOC100505938	uncharacterized LOC100505938	100505938	https://www.ncbi.nlm.nih.gov/gene/?term=100505938
100505975	ENO1-AS1	ENO1 antisense RNA 1	100505975	https://www.ncbi.nlm.nih.gov/gene/?term=100505975
100505978	LOC100505978	uncharacterized LOC100505978	100505978	https://www.ncbi.nlm.nih.gov/gene/?term=100505978
100506013	APELA	apelin receptor early endogenous ligand	100506013	https://www.ncbi.nlm.nih.gov/gene/?term=100506013
100506033	PTOV1-AS1	PTOV1 antisense RNA 1	100506033	https://www.ncbi.nlm.nih.gov/gene/?term=100506033
100506047	LINC02580	long intergenic non-protein coding RNA 2580	100506047	https://www.ncbi.nlm.nih.gov/gene/?term=100506047
100506054	RNASEH1-AS1	RNASEH1 antisense RNA 1	100506054	https://www.ncbi.nlm.nih.gov/gene/?term=100506054
100506083	LOC100506083	uncharacterized LOC100506083	100506083	https://www.ncbi.nlm.nih.gov/gene/?term=100506083
100506098	LOC100506098	uncharacterized LOC100506098	100506098	https://www.ncbi.nlm.nih.gov/gene/?term=100506098
100506107	LINC02382	long intergenic non-protein coding RNA 2382	100506107	https://www.ncbi.nlm.nih.gov/gene/?term=100506107
100506113	UVRAG-DT	UVRAG divergent transcript	100506113	https://www.ncbi.nlm.nih.gov/gene/?term=100506113
100506119	LINC01503	long intergenic non-protein coding RNA 1503	100506119	https://www.ncbi.nlm.nih.gov/gene/?term=100506119
100506127	GVQW3	GVQW motif containing 3	100506127	https://www.ncbi.nlm.nih.gov/gene/?term=100506127
100506190	LINC00963	long intergenic non-protein coding RNA 963	100506190	https://www.ncbi.nlm.nih.gov/gene/?term=100506190
100506271	LOC100506271	uncharacterized LOC100506271	100506271	https://www.ncbi.nlm.nih.gov/gene/?term=100506271
100506275	KRBOX1-AS1	KRBOX1 antisense RNA 1	100506275	https://www.ncbi.nlm.nih.gov/gene/?term=100506275
100506282	LOC100506282	uncharacterized LOC100506282	100506282	https://www.ncbi.nlm.nih.gov/gene/?term=100506282
100506314	GPRC5D-AS1	GPRC5D and HEBP1 antisense RNA 1	100506314	https://www.ncbi.nlm.nih.gov/gene/?term=100506314
100506325	SP2-AS1	SP2 antisense RNA 1	100506325	https://www.ncbi.nlm.nih.gov/gene/?term=100506325
100506371	LINC02091	long intergenic non-protein coding RNA 2091	100506371	https://www.ncbi.nlm.nih.gov/gene/?term=100506371
100506392	SLC16A1-AS1	SLC16A1 antisense RNA 1	100506392	https://www.ncbi.nlm.nih.gov/gene/?term=100506392
100506405	LOC100506405	uncharacterized LOC100506405	100506405	https://www.ncbi.nlm.nih.gov/gene/?term=100506405
100506409	ELOVL2-AS1	ELOVL2 antisense RNA 1	100506409	https://www.ncbi.nlm.nih.gov/gene/?term=100506409
100506457	MIR3681HG	MIR3681 host gene	100506457	https://www.ncbi.nlm.nih.gov/gene/?term=100506457
100506469	TMEM147-AS1	TMEM147 antisense RNA 1	100506469	https://www.ncbi.nlm.nih.gov/gene/?term=100506469
100506470	LINC01718	long intergenic non-protein coding RNA 1718	100506470	https://www.ncbi.nlm.nih.gov/gene/?term=100506470
100506473	LOC100506473	uncharacterized LOC100506473	100506473	https://www.ncbi.nlm.nih.gov/gene/?term=100506473
100506497	LOC100506497	uncharacterized LOC100506497	100506497	https://www.ncbi.nlm.nih.gov/gene/?term=100506497
100506526	C5orf64-AS1	C5orf64 antisense RNA 1	100506526	https://www.ncbi.nlm.nih.gov/gene/?term=100506526
100506527	LINC01007	long intergenic non-protein coding RNA 1007	100506527	https://www.ncbi.nlm.nih.gov/gene/?term=100506527
100506540	SPTY2D1OS	SPTY2D1 opposite strand	100506540	https://www.ncbi.nlm.nih.gov/gene/?term=100506540
100506542	LINC01082	long intergenic non-protein coding RNA 1082	100506542	https://www.ncbi.nlm.nih.gov/gene/?term=100506542
100506599	PPP1R26-AS1	PPP1R26 antisense RNA 1	100506599	https://www.ncbi.nlm.nih.gov/gene/?term=100506599
100506603	VASH1-AS1	VASH1 antisense RNA 1	100506603	https://www.ncbi.nlm.nih.gov/gene/?term=100506603
100506621	LINC01279	long intergenic non-protein coding RNA 1279	100506621	https://www.ncbi.nlm.nih.gov/gene/?term=100506621
100506639	LOC100506639	uncharacterized LOC100506639	100506639	https://www.ncbi.nlm.nih.gov/gene/?term=100506639
100506668	NRAV	negative regulator of antiviral response	100506668	https://www.ncbi.nlm.nih.gov/gene/?term=100506668
100506681	JARID2-AS1	JARID2 antisense RNA 1	100506681	https://www.ncbi.nlm.nih.gov/gene/?term=100506681
100506696	PCAT6	prostate cancer associated transcript 6	100506696	https://www.ncbi.nlm.nih.gov/gene/?term=100506696
100506714	NUP50-DT	NUP50 divergent transcript	100506714	https://www.ncbi.nlm.nih.gov/gene/?term=100506714
100506791	LINC01511	long intergenic non-protein coding RNA 1511	100506791	https://www.ncbi.nlm.nih.gov/gene/?term=100506791
100506826	MYLK-AS1	MYLK antisense RNA 1	100506826	https://www.ncbi.nlm.nih.gov/gene/?term=100506826
100506851	LOC100506851	uncharacterized LOC100506851	100506851	https://www.ncbi.nlm.nih.gov/gene/?term=100506851
100506994	PTPRG-AS1	PTPRG antisense RNA 1	100506994	https://www.ncbi.nlm.nih.gov/gene/?term=100506994
100507006	LOC100507006	uncharacterized LOC100507006	100507006	https://www.ncbi.nlm.nih.gov/gene/?term=100507006
100507027	MRLN	myoregulin	100507027	https://www.ncbi.nlm.nih.gov/gene/?term=100507027
100507034	PITRM1-AS1	PITRM1 antisense RNA 1	100507034	https://www.ncbi.nlm.nih.gov/gene/?term=100507034
100507057	MELTF-AS1	MELTF antisense RNA 1	100507057	https://www.ncbi.nlm.nih.gov/gene/?term=100507057
100507117	ASAP1-IT2	ASAP1 intronic transcript 2	100507117	https://www.ncbi.nlm.nih.gov/gene/?term=100507117
100507140	LINC01792	long intergenic non-protein coding RNA 1792	100507140	https://www.ncbi.nlm.nih.gov/gene/?term=100507140
100507143	LINC00708	long intergenic non-protein coding RNA 708	100507143	https://www.ncbi.nlm.nih.gov/gene/?term=100507143
100507257	MEG9	maternally expressed 9	100507257	https://www.ncbi.nlm.nih.gov/gene/?term=100507257
100507267	LINC01187	long intergenic non-protein coding RNA 1187	100507267	https://www.ncbi.nlm.nih.gov/gene/?term=100507267
100507277	LINC02314	long intergenic non-protein coding RNA 2314	100507277	https://www.ncbi.nlm.nih.gov/gene/?term=100507277
100507283	LOC100507283	uncharacterized LOC100507283	100507283	https://www.ncbi.nlm.nih.gov/gene/?term=100507283
100507299	SMC5-AS1	SMC5 antisense RNA 1 (head to head)	100507299	https://www.ncbi.nlm.nih.gov/gene/?term=100507299
100507377	LOC100507377	uncharacterized LOC100507377	100507377	https://www.ncbi.nlm.nih.gov/gene/?term=100507377
100507388	LOC100507388	uncharacterized LOC100507388	100507388	https://www.ncbi.nlm.nih.gov/gene/?term=100507388
100507389	LOC100507389	uncharacterized LOC100507389	100507389	https://www.ncbi.nlm.nih.gov/gene/?term=100507389
100507391	LINC01968	long intergenic non-protein coding RNA 1968	100507391	https://www.ncbi.nlm.nih.gov/gene/?term=100507391
100507392	SENCR	smooth muscle and endothelial cell enriched migration/differentiation-associated lncRNA	100507392	https://www.ncbi.nlm.nih.gov/gene/?term=100507392
100507395	LOC100507395	uncharacterized LOC100507395	100507395	https://www.ncbi.nlm.nih.gov/gene/?term=100507395
100507410	C1QTNF1-AS1	C1QTNF1 antisense RNA 1	100507410	https://www.ncbi.nlm.nih.gov/gene/?term=100507410
100507419	MMP25-AS1	MMP25 antisense RNA 1	100507419	https://www.ncbi.nlm.nih.gov/gene/?term=100507419
100507428	LINC00458	long intergenic non-protein coding RNA 458	100507428	https://www.ncbi.nlm.nih.gov/gene/?term=100507428
100507431	LINC02551	long intergenic non-protein coding RNA 2551	100507431	https://www.ncbi.nlm.nih.gov/gene/?term=100507431
100507458	ZNF213-AS1	ZNF213 antisense RNA 1 (head to head)	100507458	https://www.ncbi.nlm.nih.gov/gene/?term=100507458
100507506	LOC100507506	uncharacterized LOC100507506	100507506	https://www.ncbi.nlm.nih.gov/gene/?term=100507506
100507507	LOC100507507	uncharacterized LOC100507507	100507507	https://www.ncbi.nlm.nih.gov/gene/?term=100507507
100507524	ARHGEF26-AS1	ARHGEF26 antisense RNA 1	100507524	https://www.ncbi.nlm.nih.gov/gene/?term=100507524
100507564	LOC100507564	uncharacterized LOC100507564	100507564	https://www.ncbi.nlm.nih.gov/gene/?term=100507564
100507584	LINC01016	long intergenic non-protein coding RNA 1016	100507584	https://www.ncbi.nlm.nih.gov/gene/?term=100507584
100507629	LINC00658	long intergenic non-protein coding RNA 658	100507629	https://www.ncbi.nlm.nih.gov/gene/?term=100507629
100507670	ZNF687-AS1	ZNF687 antisense RNA 1	100507670	https://www.ncbi.nlm.nih.gov/gene/?term=100507670
10051	SMC4	structural maintenance of chromosomes 4	10051	https://www.ncbi.nlm.nih.gov/gene/?term=10051
100526833	SEPT5-GP1BB	SEPT5-GP1BB readthrough	100526833	https://www.ncbi.nlm.nih.gov/gene/?term=100526833
100533106	ZHX1-C8orf76	ZHX1-C8orf76 readthrough	100533106	https://www.ncbi.nlm.nih.gov/gene/?term=100533106
10054	UBA2	ubiquitin like modifier activating enzyme 2	10054	https://www.ncbi.nlm.nih.gov/gene/?term=10054
10058	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	10058	https://www.ncbi.nlm.nih.gov/gene/?term=10058
10061	ABCF2	ATP binding cassette subfamily F member 2	10061	https://www.ncbi.nlm.nih.gov/gene/?term=10061
100616446	ERVH-1	endogenous retrovirus group H member 1	100616446	https://www.ncbi.nlm.nih.gov/gene/?term=100616446
100616497	ERV9-1	endogenous retrovirus group 9 member 1	100616497	https://www.ncbi.nlm.nih.gov/gene/?term=100616497
10063	COX17	cytochrome c oxidase copper chaperone COX17	10063	https://www.ncbi.nlm.nih.gov/gene/?term=10063
100630923	LOC100630923	LOC100289561-PRKRIP1 readthrough	100630923	https://www.ncbi.nlm.nih.gov/gene/?term=100630923
100642175	SPRY4-IT1	SPRY4 intronic transcript 1	100642175	https://www.ncbi.nlm.nih.gov/gene/?term=100642175
100652772	NNT-AS1	NNT antisense RNA 1	100652772	https://www.ncbi.nlm.nih.gov/gene/?term=100652772
100652824	KIAA2012	KIAA2012	100652824	https://www.ncbi.nlm.nih.gov/gene/?term=100652824
100652857	TMCO5B	transmembrane and coiled-coil domains 5B (pseudogene)	100652857	https://www.ncbi.nlm.nih.gov/gene/?term=100652857
10067	SCAMP3	secretory carrier membrane protein 3	10067	https://www.ncbi.nlm.nih.gov/gene/?term=10067
10072	DPP3	dipeptidyl peptidase 3	10072	https://www.ncbi.nlm.nih.gov/gene/?term=10072
10073	SNUPN	snurportin 1	10073	https://www.ncbi.nlm.nih.gov/gene/?term=10073
10075	HUWE1	HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase	10075	https://www.ncbi.nlm.nih.gov/gene/?term=10075
10076	PTPRU	protein tyrosine phosphatase, receptor type U	10076	https://www.ncbi.nlm.nih.gov/gene/?term=10076
10078	TSSC4	tumor suppressing subtransferable candidate 4	10078	https://www.ncbi.nlm.nih.gov/gene/?term=10078
10079	ATP9A	ATPase phospholipid transporting 9A (putative)	10079	https://www.ncbi.nlm.nih.gov/gene/?term=10079
10081	PDCD7	programmed cell death 7	10081	https://www.ncbi.nlm.nih.gov/gene/?term=10081
10084	PQBP1	polyglutamine binding protein 1	10084	https://www.ncbi.nlm.nih.gov/gene/?term=10084
10085	EDIL3	EGF like repeats and discoidin domains 3	10085	https://www.ncbi.nlm.nih.gov/gene/?term=10085
100859921	LINC00536	long intergenic non-protein coding RNA 536	100859921	https://www.ncbi.nlm.nih.gov/gene/?term=100859921
100861553	LINC00560	long intergenic non-protein coding RNA 560	100861553	https://www.ncbi.nlm.nih.gov/gene/?term=100861553
100861554	LINC00563	long intergenic non-protein coding RNA 563	100861554	https://www.ncbi.nlm.nih.gov/gene/?term=100861554
100862662	ALDH1L1-AS2	ALDH1L1 antisense RNA 2	100862662	https://www.ncbi.nlm.nih.gov/gene/?term=100862662
100873930	DLG3-AS1	DLG3 antisense RNA 1	100873930	https://www.ncbi.nlm.nih.gov/gene/?term=100873930
100873942	PHEX-AS1	PHEX antisense RNA 1	100873942	https://www.ncbi.nlm.nih.gov/gene/?term=100873942
100873964	LINC00280	long intergenic non-protein coding RNA 280	100873964	https://www.ncbi.nlm.nih.gov/gene/?term=100873964
100874012	NAV2-AS5	NAV2 antisense RNA 5	100874012	https://www.ncbi.nlm.nih.gov/gene/?term=100874012
100874016	SYNPR-AS1	SYNPR antisense RNA 1	100874016	https://www.ncbi.nlm.nih.gov/gene/?term=100874016
100874032	PRRT3-AS1	PRRT3 antisense RNA 1	100874032	https://www.ncbi.nlm.nih.gov/gene/?term=100874032
100874058	COX10-AS1	COX10 antisense RNA 1	100874058	https://www.ncbi.nlm.nih.gov/gene/?term=100874058
100874069	STK24-AS1	STK24 antisense RNA 1	100874069	https://www.ncbi.nlm.nih.gov/gene/?term=100874069
100874074	DLEU7-AS1	DLEU7 antisense RNA 1	100874074	https://www.ncbi.nlm.nih.gov/gene/?term=100874074
100874107	MTUS2-AS1	MTUS2 antisense RNA 1	100874107	https://www.ncbi.nlm.nih.gov/gene/?term=100874107
100874239	ARHGAP26-AS1	ARHGAP26 antisense RNA 1	100874239	https://www.ncbi.nlm.nih.gov/gene/?term=100874239
100874251	KIRREL3-AS2	KIRREL3 antisense RNA 2	100874251	https://www.ncbi.nlm.nih.gov/gene/?term=100874251
100874291	ALMS1-IT1	ALMS1 intronic transcript 1	100874291	https://www.ncbi.nlm.nih.gov/gene/?term=100874291
100874305	NAV2-IT1	NAV2 intronic transcript 1	100874305	https://www.ncbi.nlm.nih.gov/gene/?term=100874305
100874314	TTLL7-IT1	TTLL7 intronic transcript 1	100874314	https://www.ncbi.nlm.nih.gov/gene/?term=100874314
100874433	IQCJ-SCHIP1-AS1	IQCJ-SCHIP1 readthrough antisense RNA 1	100874433	https://www.ncbi.nlm.nih.gov/gene/?term=100874433
